Mfcc,Chroma,MelSpectogram,Centroid,Spread,Flatness,Noiseness,Rolloff,Crest,Entropy,Decrease,Contrast,Pitch,Energy,Rms,TimeEntropy,Zcr,Emotion
7.912551,6.806274,1.0070337,403.58167,588.58954,0.5941167,0.021076044,758.36237,6.153219,0.7852535,0.1170486,0.3571924,9.8249855,0.0014985804,0.024846205,0.16240078,0.86596775,5
7.6171746,0.90052205,0.1967837,300.55637,556.60614,0.57480985,0.018207667,426.5748,5.074302,0.77326953,0.11400374,0.33350092,0,6.9401045E-05,0.0069102137,0.19875476,0.8829172,4
8.26547,2.2238514,0.2492914,299.51797,527.22687,0.5679397,0.016454764,440.84113,5.5519285,0.76837,0.116066135,0.3087854,3.391169,0.0003256591,0.010537455,0.16419554,0.83438295,1
8.238686,0.48722935,0.17375973,335.89886,551.4586,0.5667174,0.0219599,600.19684,5.579971,0.7694797,0.1210568,0.33313408,2.220125,0.0004184585,0.013047645,0.18514791,0.8875173,3
8.213717,0.66111326,0.22734019,211.8685,371.36346,0.5026222,0.005275172,256.90234,5.188998,0.75497395,0.11641931,0.32677716,0,7.2474046E-05,0.0067843655,0.07339054,0.8982236,7
5.5375586,725.3916,103.21104,325.38083,491.0425,0.56415576,0.007460455,505.11786,5.847182,0.7754978,0.12296249,0.34285444,57.853176,0.0035260417,0.033918098,0.12514451,0.88317466,5
8.948209,0.898339,0.37369353,195.93646,323.92288,0.46690527,0.0037813878,249.09448,4.968709,0.74864423,0.10940735,0.3174844,0,4.4104207E-05,0.006029339,0.056144297,0.85847414,4
6.8639507,97.846016,20.580103,246.32147,396.68845,0.51255333,0.0063730655,321.64948,5.5126357,0.76290566,0.12630464,0.34947413,1.7387525,0.0005849414,0.015815653,0.0830039,0.8920741,1
7.9534345,0.701837,0.2387329,229.59407,390.4436,0.5237687,0.00509315,309.75104,5.1107826,0.76301897,0.08864218,0.34684044,0,0.0001207223,0.008638356,0.09379257,0.8866787,3
8.585708,0.70903337,0.27298978,196.9011,339.57663,0.4992647,0.0036697832,231.12245,5.0868073,0.75398135,0.14188883,0.31095842,0,3.68563E-05,0.0054077017,0.06635637,0.9073084,6
8.719085,0.7158075,0.2510447,220.19977,341.86813,0.4945392,0.0034372478,289.78873,5.4065237,0.7580191,0.11073752,0.3257331,0.26372612,0.00021646831,0.011074849,0.07553214,0.8693612,7
7.0130377,0.80217963,0.26844898,264.37326,454.01465,0.5505843,0.010281493,380.7074,5.4608536,0.7718795,0.13328256,0.31937012,0,0.00019548202,0.011228508,0.13246138,0.8891923,5
8.479428,0.6586956,0.23710242,197.71535,315.54474,0.48173165,0.0029973171,246.40845,5.3007855,0.7498443,0.12404494,0.3073263,0,9.646134E-05,0.007909833,0.04795439,0.8648291,4
7.9058285,22.718094,4.5593443,232.14137,363.30606,0.49895644,0.0049802624,327.05127,5.574846,0.75801283,0.07298958,0.30624133,0.47927153,0.0002611326,0.012409855,0.06488443,0.8869855,1
8.123939,0.7522584,0.2544374,219.1017,356.56677,0.5053023,0.004542395,294.1281,5.454991,0.7597025,0.12841119,0.3126306,0,0.00014875825,0.009446177,0.057884924,0.9038568,3
8.683328,0.67087036,0.25086975,210.4531,347.1552,0.49383616,0.0048004393,291.9573,5.2741413,0.75426835,0.13246559,0.2952179,0,0.000110584944,0.00854709,0.061416887,0.90229315,6
8.37311,0.6571848,0.24136706,224.63293,345.77274,0.49409974,0.0046450896,313.50516,5.2896895,0.75556403,0.12404536,0.31207532,0,0.00018500205,0.010071817,0.062441327,0.87171733,7
7.06349,17.318365,0.32921386,277.31717,413.1982,0.5303268,0.005768925,386.4794,6.1859794,0.7629551,0.12946585,0.32953906,17.648033,0.0038733862,0.036179025,0.08556973,0.8824755,5
8.989923,0.62317485,0.23199499,190.05202,313.6925,0.47023183,0.0029897336,233.57664,5.0448966,0.7515218,0.14233792,0.31751588,0,4.0200062E-05,0.005716396,0.05230229,0.9041059,4
8.587508,0.77381444,0.2541116,222.03613,349.56427,0.50064284,0.0037345649,292.15686,5.2569895,0.761572,0.10024651,0.30669954,0.9162544,0.0002565829,0.011459219,0.061894935,0.8643376,1
7.8063807,3.170217,0.6408437,215.42374,376.4279,0.51708585,0.00453834,259.5679,4.8743005,0.7588853,0.15072997,0.3020591,0,4.8717946E-05,0.0062229703,0.07358675,0.9025256,4
7.03927,20.784088,4.02192,231.90692,382.3338,0.49067014,0.004567862,315.02304,5.311353,0.75184494,0.15547775,0.29783523,0,0.00024195497,0.0123748435,0.06964415,0.8578075,1
4.7900205,43.50257,7.0034804,304.22522,500.5168,0.57083875,0.008657706,446.27048,5.4595423,0.77433383,0.15426072,0.30370313,21.947874,0.00039160633,0.013252547,0.117486335,0.8782727,3
5.848308,216.81639,31.366428,334.30005,486.6516,0.54903734,0.007341424,513.29114,5.775032,0.77087706,0.15120162,0.30741206,29.33983,0.0031578923,0.03699182,0.09491027,0.8798495,6
8.378659,18.066425,2.38902,268.40787,458.13446,0.5620452,0.0071756914,365.727,5.450748,0.7716765,0.09335334,0.30701303,0,0.00018372844,0.010067431,0.08870098,0.8818348,7
4.532328,142.08595,19.54925,444.84506,646.6105,0.61639774,0.018851973,775.7239,5.9776053,0.78930706,0.119040176,0.3067688,197.61682,0.004617036,0.04177865,0.1636161,0.80214214,5
5.36062,27.147133,5.6949835,247.28079,396.99426,0.5310401,0.0054227174,322.2047,5.577264,0.7657984,0.13550289,0.30754495,0.7373408,0.0003547844,0.014291884,0.08600241,0.84903806,4
7.5696883,14.629474,2.4049988,288.01898,474.717,0.5713247,0.008292281,416.4,5.1251903,0.7791944,0.09967461,0.3173613,3.8455997,0.0005766668,0.01868797,0.10064049,0.8813795,1
7.4277873,23.87801,4.020744,304.371,448.03412,0.5455973,0.0062596733,427.3632,6.276305,0.7662911,0.100862496,0.34103942,27.051306,0.0018149547,0.030579546,0.07851719,0.86003584,3
7.0435333,17.510818,3.9366126,261.4255,417.82822,0.53784865,0.007110192,369.5299,5.408234,0.7700089,0.10940233,0.3270577,2.993041,0.00060687936,0.017784137,0.10008997,0.89929813,6
6.1955647,15.900349,3.1088347,248.37851,403.82742,0.526183,0.0053782486,324.02597,5.5928187,0.76669455,0.13978602,0.33174455,0,0.00019840906,0.011639526,0.091863856,0.89489913,7
5.4771466,179.81662,33.04536,319.63394,489.2174,0.53843206,0.009585316,451.17844,6.5155587,0.75973487,0.13563974,0.34286296,35.21805,0.004057203,0.042431775,0.1327055,0.8897663,5
7.684872,11.871058,2.7403169,206.41483,316.4618,0.4710727,0.0023258035,285.95557,5.1083436,0.74840826,0.18667474,0.29617846,0,0.00020084262,0.012018663,0.047518797,0.9023028,4
7.5843997,47.965202,8.913758,252.18317,370.52786,0.5300282,0.0030537308,353.17972,5.446092,0.770532,0.13660307,0.30454168,7.225145,0.0005905342,0.018209312,0.058117643,0.90230757,1
